TEAM,CONFERENCE,
Purdue,Big Ten,
Rutgers,Big Ten,
Wisconsin,Big Ten,
Cal Poly,Big West,
Cs Fullerton,Big West,
Cs Northridge,Big West,
Hawaii,Big West,
Long Beach St,Big West,
UC Davis,Big West,
UC Irvine,Big West,
UC Riverside,Big West,
UC Santa Barbara,Big West,
College Of Charleston,Colonial Athletic Association,
Delaware,Colonial Athletic Association,
Drexel,Colonial Athletic Association,
Elon,Colonial Athletic Association,
Hofstra,Colonial Athletic Association,
James Madison,Colonial Athletic Association,
Northeastern,Colonial Athletic Association,
Towson,Colonial Athletic Association,
UNC Wilmington,Colonial Athletic Association,
William & Mary,Colonial Athletic Association,
Charlotte,Conference USA,
Florida Atlantic,Conference USA,
Florida Int'L,Conference USA,
Louisiana Tech,Conference USA,
Marshall,Conference USA,
Middle Tennessee,Conference USA,
North Texas,Conference USA,
Old Dominion,Conference USA,
Rice,Conference USA,
Southern Miss,Conference USA,
UAB,Conference USA,
UT-San Antonio,Conference USA,
UTEP,Conference USA,
Western Kentucky,Conference USA,
N.J.I.T.,Independent,
Cleveland St,Horizon League,
Detroit,Horizon League,
Green Bay,Horizon League,
Milwaukee,Horizon League,
Oakland,Horizon League,
UIC,Horizon League,
Valparaiso,Horizon League,
Wright St,Horizon League,
Youngstown St,Horizon League,
Brown,Ivy League,
Columbia,Ivy League,
Cornell,Ivy League,
Dartmouth,Ivy League,
Harvard,Ivy League,
Pennsylvania,Ivy League,
Princeton,Ivy League,
Yale,Ivy League,
Canisius,MAAC,
Fairfield,MAAC,
Iona,MAAC,
Manhattan,MAAC,
Marist,MAAC,
Monmouth Nj,MAAC,
Niagara,MAAC,
Quinnipiac,MAAC,
Rider,MAAC,
Saint Peter's,MAAC,
Siena,MAAC,
Akron,Mid-American,
Bowling Green,Mid-American,
Buffalo,Mid-American,
Kent State,Mid-American,
Miami (Oh),Mid-American,
Ohio,Mid-American,
Ball State,Mid-American,
Central Michigan,Mid-American,
Eastern Michigan,Mid-American,
Northern Illinois,Mid-American,
Toledo,Mid-American,
Western Michigan,Mid-American,
Bethune-Cookman,MEAC,
Coppin St,MEAC,
Delaware St,MEAC,
Florida A&M,MEAC,
Hampton,MEAC,
Howard,MEAC,
Maryland-Eastern Shore,MEAC,
Morgan St,MEAC,
Norfolk St,MEAC,
North Carolina A&T,MEAC,
North Carolina Central,MEAC,
Savannah St,MEAC,
South Carolina St,MEAC,
Bryant,Northeast,
Central Connecticut St,Northeast,
Fairleigh Dickinson,Northeast,
Liu Brooklyn,Northeast,
Mt. St. Mary's,Northeast,
Robert Morris,Northeast,
Sacred Heart,Northeast,
St. Francis (Bkn),Northeast,
St. Francis (Pa),Northeast,
Wagner,Northeast,
Austin Peay,Ohio Valley,
Eastern Illinois,Ohio Valley,
Murray St,Ohio Valley,
SE Missouri St,Ohio Valley,
SIU-Edwardsville,Ohio Valley,
Tenn-Martin,Ohio Valley,
Belmont,Ohio Valley,
Eastern Kentucky,Ohio Valley,
Jacksonville St,Ohio Valley,
Morehead St,Ohio Valley,
Tennessee St,Ohio Valley,
Tennessee Tech,Ohio Valley,
Arizona,Pac-12,
Arizona St,Pac-12,
California,Pac-12,
Colorado,Pac-12,
Oregon,Pac-12,
Oregon St,Pac-12,
Stanford,Pac-12,
UCLA,Pac-12,
USC,Pac-12,
Utah,Pac-12,
Washington,Pac-12,
Washington St,Pac-12,
American,Patriot League,
Army,Patriot League,
Boston Univ.,Patriot League,
Bucknell,Patriot League,
Colgate,Patriot League,
Holy Cross,Patriot League,
Lafayette,Patriot League,
Lehigh,Patriot League,
Loyola (Md),Patriot League,
Navy,Patriot League,
Alabama,SEC,
Arkansas,SEC,
Auburn,SEC,
Florida,SEC,
Georgia,SEC,
Kentucky,SEC,
LSU,SEC,
Mississippi St,SEC,
Missouri,SEC,
Ole Miss,SEC,
South Carolina,SEC,
Tennessee,SEC,
Texas A&M,SEC,
Vanderbilt,SEC,
Chattanooga,Southern,
East Tennessee St,Southern,
Furman,Southern,
Mercer,Southern,
Samford,Southern,
The Citadel,Southern,
UNC Greensboro,Southern,
VMI,Southern,
Western Carolina,,
Wofford,Southern,
Abilene Christian ,Southland,
Central Arkansas,Southland,
Houston Baptist,Southland,
Incarnate Word,Southland,
Lamar,Southland,
Mcneese St,Southland,
New Orleans,Southland,
Nicholls St,Southland,
Northwestern St,Southland,
Sam Houston St,Southland,
SE Louisiana,Southland,
Stephen F. Austin,Southland,
Texas A&M-CC,Southland,
Alabama A&M,SWAC,
Alabama St,SWAC,
Alcorn St,SWAC,
Arkansas-Pine Bluff,SWAC,
Grambling St,SWAC,
Jackson St,SWAC,
Miss Valley St,SWAC,
Prairie View,SWAC,
Southern,SWAC,
Texas Southern,SWAC,
Denver,Summit League,
IPFW,Summit League,
Iupui,Summit League,
North Dakota St,Summit League,
Omaha,Summit League,
Oral Roberts,Summit League,
South Dakota,Summit League,
South Dakota St,Summit League,
Western Illinois,Summit League,
Appalachian St,Sun Belt,
Arkansas St,Sun Belt,
Arkansas-Little Rock,Sun Belt,
Georgia Southern,Sun Belt,
Georgia St,Sun Belt,
South Alabama,Sun Belt,
Texas State,Sun Belt,
Troy,Sun Belt,
UL Lafayette,Sun Belt,
UL Monroe,Sun Belt,
UT-Arlington,Sun Belt,
BYU,West Coast,
Gonzaga,West Coast,
Loyola Marymount,West Coast,
Pacific,West Coast,
Pepperdine,West Coast,
Portland,West Coast,
Saint Mary's,West Coast,
San Diego,West Coast,
San Francisco,West Coast,
Santa Clara,West Coast,
Chicago St,WAC,
Csu Bakersfield,WAC,
Grand Canyon,WAC,
New Mexico St,WAC,
Seattle,WAC,
UMKC,WAC,
UT-Pan American,WAC,
Utah Valley,WAC,
Bradley,Missouri Valley,
Drake,Missouri Valley,
Evansville,Missouri Valley,
Illinois St,Missouri Valley,
Indiana St,Missouri Valley,
Loyola (Il),Missouri Valley,
Missouri St,Missouri Valley,
Northern Iowa,Missouri Valley,
Southern Illinois,Missouri Valley,
Wichita St,Missouri Valley,
Air Force,Mountain West,
Boise State,Mountain West,
Colorado St,Mountain West,
Fresno St,Mountain West,
Nevada,Mountain West,
New Mexico,Mountain West,
San Diego St,Mountain West,
San José St,Mountain West,
UNLV,Mountain West,
Utah State,Mountain West,
Wyoming,Mountain West,
